hip,luminosity,temperature
93199,6.065393569,2520.832068
96690,0.601579033,2520.832068
97873,1.704923153,2520.832068
98033,1.090363582,2520.832068
98298,70.83068413,2520.832068
100967,0.51842239,2520.832068
101472,0.466242735,2520.832068
101982,1.157772401,2520.832068
105682,2.495663899,2520.832068
108434,0.446284077,2520.832068
110843,0.882298793,2520.832068
111731,3.268589196,2520.832068
111732,0.685559182,2520.832068
112194,3.439509874,2520.832068
114573,2.393353066,2520.832068
115009,0.842711259,2520.832068
115957,5.805325939,2520.832068
117002,0.431244799,2520.832068
7661,24.09473758,2525.064101
8568,1.293392456,2525.064101
13049,822.464672,2525.064101
14050,4.461804106,2525.064101
17873,5.945073831,2525.064101
19311,2.365456184,2525.064101
20820,46.43743809,2525.064101
24692,3.44000119,2525.064101
25264,5.941309354,2525.064101
32916,0.77645962,2525.064101
37226,17.36373899,2525.064101
40350,1.566667081,2525.064101
43588,16.51713097,2525.064101
45807,2.934781799,2525.064101
49826,0.479270279,2525.064101
54485,8.289992168,2525.064101
55057,0.568497483,2525.064101
58269,2.095272946,2525.064101
60913,1.628175102,2525.064101
64947,0.27189588,2525.064101
67882,0.416260832,2525.064101
71527,0.428774295,2525.064101
76674,0.423075564,2525.064101
84595,1.389307602,2525.064101
88392,4.340781669,2525.064101
91257,228.2891812,2525.064101
92026,4.151455038,2525.064101
94802,1.577051174,2525.064101
100409,485.7236606,2525.064101
103208,0.332060401,2525.064101
105556,1.807858499,2525.064101
108454,2.018544293,2525.064101
116481,0.707032275,2525.064101
4651,18.21956778,2529.304393
5933,3.496882656,2529.304393
9316,2.419749448,2529.304393
15609,0.653497662,2529.304393
25321,0.534641795,2529.304393
26813,0.816483608,2529.304393
30956,182.2678045,2529.304393
32831,1119.139654,2529.304393
39391,0.569416365,2529.304393
40423,0.944017026,2529.304393
40928,0.535861764,2529.304393
42369,0.809541413,2529.304393
50681,0.502333942,2529.304393
55236,1.017131448,2529.304393
59795,9.492759147,2529.304393
61504,3.49222596,2529.304393
62563,1.395390677,2529.304393
63009,1.194146865,2529.304393
71302,0.757514528,2529.304393
76427,36.81146686,2529.304393
81323,2.203371783,2529.304393
83389,0.46949984,2529.304393
88848,0.684214947,2529.304393
90542,1.989435333,2529.304393
93288,18.2457031,2529.304393
96596,17.60288812,2529.304393
107183,17.63533947,2529.304393
116229,5.865910773,2529.304393
1788,0.97728538,2533.552961
6851,1.206283217,2533.552961
8102,0.37053197,2533.552961
8799,0.906519529,2533.552961
14348,16.56311968,2533.552961
17013,0.781952772,2533.552961
18576,5.849565071,2533.552961
25791,1.455400979,2533.552961
26401,0.776352537,2533.552961
27311,0.763711701,2533.552961
28376,0.4175938,2533.552961
29169,9.350864826,2533.552961
32574,1.399060445,2533.552961
36878,0.501421905,2533.552961
39528,0.610597814,2533.552961
44349,0.731574542,2533.552961
44610,0.62237545,2533.552961
45570,5641.830392,2533.552961
48500,23.64324412,2533.552961
49786,1.916732439,2533.552961
53980,1.136644771,2533.552961
54601,3.671744576,2533.552961
56663,1.249862318,2533.552961
62804,1.506686308,2533.552961
65501,3.015341886,2533.552961
74059,2.665277013,2533.552961
75208,1.627624721,2533.552961
77540,0.659428609,2533.552961
77741,7.208729045,2533.552961
77839,0.596453045,2533.552961
78092,17.88979713,2533.552961
79665,1.634981189,2533.552961
79969,0.5596288,2533.552961
81961,0.924470283,2533.552961
84739,0.852140029,2533.552961
86135,0.736948507,2533.552961
87691,2.147791462,2533.552961
87966,2.627708836,2533.552961
90697,2367.490586,2533.552961
95505,301.7047566,2533.552961
95553,2.419360647,2533.552961
97769,1.137996226,2533.552961
98569,0.466343007,2533.552961
99275,1.928515369,2533.552961
101763,1.279367883,2533.552961
105007,1.06329811,2533.552961
105600,10.28917303,2533.552961
107160,4.273994758,2533.552961
107457,0.647202926,2533.552961
109767,0.600583342,2533.552961
110442,0.672439095,2533.552961
110752,0.520485544,2533.552961
114638,1.390171166,2533.552961
2790,0.599598271,2537.809823
12182,0.990930868,2537.809823
15460,0.557697892,2537.809823
19075,28.03582781,2537.809823
30809,1.409855643,2537.809823
31435,1.443616946,2537.809823
32127,0.377119003,2537.809823
38374,0.604440811,2537.809823
40338,0.694478174,2537.809823
43225,7.48712293,2537.809823
52430,616.3111886,2537.809823
54480,0.44830867,2537.809823
56009,0.389648087,2537.809823
56413,0.590230026,2537.809823
58623,0.671441598,2537.809823
58645,0.412452201,2537.809823
62626,1.36333589,2537.809823
63496,2.547621792,2537.809823
63837,1.367761337,2537.809823
69270,0.961651531,2537.809823
