hip,luminosity,temperature
2,0.3141288912163791,4745.1404245925805
6,0.02499022379510607,4058.1073480583973
7,0.3540890720587195,5468.4090187676065
18,0.059429333467103225,3695.4367966963955
34,10.547521110260968,6326.068295373748
38,0.43106727646267445,5347.895072184639
47,0.06020199498357957,4409.234032365268
50,6.231488071921036,5905.594296749442
54,0.10436174491203791,4671.844617825824
55,3.2703825612695288,6166.275261730199
57,0.3043050091781263,5097.730697693218
58,1.6172276685103022,6299.551258613002
65,0.0832774881258232,4415.421246537349
68,0.20990277440909605,4891.572509518791
74,0.14461738229559296,4585.187259968924
80,1.6357156362231964,6103.941117972312
81,0.49555036556740745,5807.8155524491185
84,0.22612133629721434,5128.697833958958
93,1.4802528148419247,5894.132132217435
96,0.05553355278294894,4017.00351077832
110,0.6283619793241495,5320.175641469432
111,0.031894933906113185,4107.186234101257
112,0.03701363676116418,3976.758858217169
122,37.0254320206589,4205.4316545829715
128,9.336748838456344,8304.980143006806
135,0.6123558487706845,5890.322012321262
142,2.873505094307492,5501.092963336511
143,0.10716558238323158,4664.877902396948
149,0.046104135838946944,4912.167284243307
159,4.826333586360453,7513.087897381098
169,0.034057447456159615,3966.828688903021
171,0.5214028804349261,5636.113022413328
179,5.189463592142444,6238.600489616528
184,0.27294363052430504,5028.804089770287
191,0.009666987950137686,3808.609875061861
194,5.221814240158584,7367.846405765911
223,1.7361369668725166,5901.768262850707
238,8.34611733503992,6273.272881143872
246,0.26718398729376996,4766.876781934012
263,0.009473980532542283,3834.5747102460095
276,2.38631761254954,5830.070651083036
277,5.141265904311309,7140.835626793466
290,2.292493684239519,6116.299236564012
296,0.519294536419154,5341.708650122388
305,1.302283683609899,5465.163391615079
306,1.434722050595294,5905.594296749442
307,0.09355435949576377,4194.273288699762
308,6.265258244333354,7442.850990645404
325,1.229742799817693,5909.42565853523
348,0.8354591614981601,5815.213657459187
350,0.10928653216169355,4514.792642720805
351,0.164046657603674,5120.2127178157225
359,0.5140122476339986,5818.920291605021
394,3.8986896030676297,5845.009272413325
400,0.3579569421405338,5420.15213524512
404,3.838745838412603,6170.479670332324
407,0.7268018769872125,5567.728737397792
413,1.4893798063996861,6225.704592092701
420,1.1971239550271495,6059.083943683939
425,1.842782220109236,5995.087567306274
428,0.010007184529843973,3836.1135269513197
436,0.07183672466935555,4567.37286638686
439,0.005293216473340929,3851.572659250608
443,15.029779090086556,4674.17173297854
459,0.5385064150031257,5720.585402490921
460,0.31542965056838973,5484.699040831557
462,2.587412687090493,6644.396553608211
473,0.048611892874993595,3934.098141087187
475,0.9942045955625178,5830.070651083036
489,0.23151728139820843,5335.5374473987595
490,1.0756589577798146,5987.189979065372
493,1.0088051558340128,5983.249561845766
495,0.35166560103273425,4943.405869870266
518,1.3107928287267088,5646.525937576086
